Date,Close
3/2/2015 16:00:00,0.37
3/3/2015 16:00:00,0.35
3/4/2015 16:00:00,0.33
3/5/2015 16:00:00,0.31
3/6/2015 16:00:00,0.31
3/9/2015 16:00:00,0.3
3/10/2015 16:00:00,0.3
3/11/2015 16:00:00,0.27
3/12/2015 16:00:00,0.3
3/13/2015 16:00:00,0.33
3/16/2015 16:00:00,0.32
3/17/2015 16:00:00,0.33
3/18/2015 16:00:00,0.33
3/19/2015 16:00:00,0.33
3/20/2015 16:00:00,0.33
3/23/2015 16:00:00,0.33
3/24/2015 16:00:00,0.36
3/25/2015 16:00:00,0.37
3/26/2015 16:00:00,0.42
3/27/2015 16:00:00,0.42
3/30/2015 16:00:00,0.42
3/31/2015 16:00:00,0.42
4/1/2015 16:00:00,0.43
4/2/2015 16:00:00,0.47
4/6/2015 16:00:00,0.43
4/7/2015 16:00:00,0.47
4/8/2015 16:00:00,0.5
4/9/2015 16:00:00,0.5
4/10/2015 16:00:00,0.53
4/13/2015 16:00:00,0.53
4/14/2015 16:00:00,0.52
4/15/2015 16:00:00,0.51
4/16/2015 16:00:00,0.5
4/17/2015 16:00:00,0.48
4/20/2015 16:00:00,0.53
4/21/2015 16:00:00,0.6
4/22/2015 16:00:00,0.63
4/23/2015 16:00:00,0.77
4/24/2015 16:00:00,0.8
4/27/2015 16:00:00,1.08
4/28/2015 16:00:00,0.99
4/29/2015 16:00:00,0.93
4/30/2015 16:00:00,0.82
5/1/2015 16:00:00,1.02
5/4/2015 16:00:00,0.95
5/5/2015 16:00:00,0.95
5/6/2015 16:00:00,1
5/7/2015 16:00:00,0.87
5/8/2015 16:00:00,1.05
5/11/2015 16:00:00,1.03
5/12/2015 16:00:00,0.95
5/13/2015 16:00:00,0.98
5/14/2015 16:00:00,0.94
5/15/2015 16:00:00,0.95
5/18/2015 16:00:00,0.93
5/19/2015 16:00:00,0.86
5/20/2015 16:00:00,0.8
5/21/2015 16:00:00,0.9
5/22/2015 16:00:00,0.86
5/26/2015 16:00:00,0.78
5/27/2015 16:00:00,0.8
5/28/2015 16:00:00,0.79
5/29/2015 16:00:00,0.77
6/1/2015 16:00:00,0.8
6/2/2015 16:00:00,0.76
6/3/2015 16:00:00,0.81
6/4/2015 16:00:00,0.79
6/5/2015 16:00:00,0.81
6/8/2015 16:00:00,0.77
6/9/2015 16:00:00,0.77
6/10/2015 16:00:00,0.76
6/11/2015 16:00:00,0.69
6/12/2015 16:00:00,0.72
6/15/2015 16:00:00,0.7
6/16/2015 16:00:00,0.69
6/17/2015 16:00:00,0.76
6/18/2015 16:00:00,0.88
6/19/2015 16:00:00,0.94
6/22/2015 16:00:00,1
6/23/2015 16:00:00,0.85
6/24/2015 16:00:00,0.88
6/25/2015 16:00:00,0.95
6/26/2015 16:00:00,0.92
6/29/2015 16:00:00,0.92
6/30/2015 16:00:00,0.94
7/1/2015 16:00:00,0.86
7/2/2015 16:00:00,0.85
7/6/2015 16:00:00,0.78
7/7/2015 16:00:00,0.83
7/8/2015 16:00:00,0.8
7/9/2015 16:00:00,0.81
7/10/2015 16:00:00,0.8
7/13/2015 16:00:00,0.78
7/14/2015 16:00:00,0.8
7/15/2015 16:00:00,0.77
7/16/2015 16:00:00,0.77
7/17/2015 16:00:00,0.77
7/20/2015 16:00:00,0.75
7/21/2015 16:00:00,0.73
7/22/2015 16:00:00,0.74
7/23/2015 16:00:00,0.76
7/24/2015 16:00:00,0.82
7/27/2015 16:00:00,0.86
7/28/2015 16:00:00,0.83
7/29/2015 16:00:00,0.86
7/30/2015 16:00:00,0.86
7/31/2015 16:00:00,0.86
8/3/2015 16:00:00,0.88
8/4/2015 16:00:00,0.83
8/5/2015 16:00:00,0.8
8/6/2015 16:00:00,0.84
8/7/2015 16:00:00,0.91
8/10/2015 16:00:00,0.85
8/11/2015 16:00:00,0.77
8/12/2015 16:00:00,0.77
8/13/2015 16:00:00,0.76
8/14/2015 16:00:00,0.76
8/17/2015 16:00:00,0.72
8/18/2015 16:00:00,0.7
8/19/2015 16:00:00,0.73
8/20/2015 16:00:00,0.7
8/21/2015 16:00:00,0.67
8/24/2015 16:00:00,0.61
8/25/2015 16:00:00,0.63
8/26/2015 16:00:00,0.68
8/27/2015 16:00:00,0.65
8/28/2015 16:00:00,0.65
8/31/2015 16:00:00,0.64
9/1/2015 16:00:00,0.64
9/2/2015 16:00:00,0.6
9/3/2015 16:00:00,0.64
9/4/2015 16:00:00,0.66
9/8/2015 16:00:00,0.65
9/9/2015 16:00:00,0.63
9/10/2015 16:00:00,0.62
9/11/2015 16:00:00,0.6
9/14/2015 16:00:00,0.6
9/15/2015 16:00:00,0.65
9/16/2015 16:00:00,0.65
9/17/2015 16:00:00,0.64
9/18/2015 16:00:00,0.61
9/21/2015 16:00:00,0.62
9/22/2015 16:00:00,0.62
9/23/2015 16:00:00,0.65
9/24/2015 16:00:00,0.65
9/25/2015 16:00:00,0.66
9/28/2015 16:00:00,0.61
9/29/2015 16:00:00,0.69
9/30/2015 16:00:00,0.7
10/1/2015 16:00:00,0.69
10/2/2015 16:00:00,0.76
10/5/2015 16:00:00,0.77
10/6/2015 16:00:00,0.76
10/7/2015 16:00:00,0.68
10/8/2015 16:00:00,0.64
10/9/2015 16:00:00,0.67
10/12/2015 16:00:00,0.66
10/13/2015 16:00:00,0.66
10/14/2015 16:00:00,0.66
10/15/2015 16:00:00,0.67
10/16/2015 16:00:00,0.69
10/19/2015 16:00:00,0.72
10/20/2015 16:00:00,0.7
10/21/2015 16:00:00,0.68
10/22/2015 16:00:00,0.7
10/23/2015 16:00:00,0.66
10/26/2015 16:00:00,0.69
10/27/2015 16:00:00,0.66
10/28/2015 16:00:00,0.66
10/29/2015 16:00:00,0.66
10/30/2015 16:00:00,0.64
11/2/2015 16:00:00,0.69
11/3/2015 16:00:00,0.68
11/4/2015 16:00:00,0.67
11/5/2015 16:00:00,0.68
11/6/2015 16:00:00,0.69
11/9/2015 16:00:00,0.67
11/10/2015 16:00:00,0.67
11/11/2015 16:00:00,0.63
11/13/2015 16:00:00,0.62
11/16/2015 16:00:00,0.64
11/17/2015 16:00:00,0.62
11/18/2015 16:00:00,0.63
11/19/2015 16:00:00,0.62
11/20/2015 16:00:00,0.58
11/23/2015 16:00:00,0.56
11/24/2015 16:00:00,0.54
11/25/2015 16:00:00,0.53
11/27/2015 16:00:00,0.53
11/30/2015 16:00:00,0.53
12/1/2015 16:00:00,0.53
12/2/2015 16:00:00,0.54
12/3/2015 16:00:00,0.51
12/4/2015 16:00:00,0.5
12/7/2015 16:00:00,0.51
12/8/2015 16:00:00,0.51
12/9/2015 16:00:00,0.53
12/10/2015 16:00:00,0.53
12/11/2015 16:00:00,0.53
12/14/2015 16:00:00,0.56
12/15/2015 16:00:00,0.56
12/16/2015 16:00:00,0.55
12/17/2015 16:00:00,0.66
12/18/2015 16:00:00,0.66
12/21/2015 16:00:00,0.66
12/22/2015 16:00:00,0.64
12/23/2015 16:00:00,0.62
12/24/2015 16:00:00,0.62
12/28/2015 16:00:00,0.61
12/29/2015 16:00:00,0.63
12/30/2015 16:00:00,0.62
12/31/2015 16:00:00,0.65
1/4/2016 16:00:00,0.66
1/5/2016 16:00:00,0.67
1/6/2016 16:00:00,0.62
1/7/2016 16:00:00,0.62
1/8/2016 16:00:00,0.62
1/11/2016 16:00:00,0.62
1/12/2016 16:00:00,0.63
1/13/2016 16:00:00,0.59
1/14/2016 16:00:00,0.62
1/15/2016 16:00:00,0.62
1/19/2016 16:00:00,0.62
1/20/2016 16:00:00,0.61
1/21/2016 16:00:00,0.63
1/22/2016 16:00:00,0.74
1/25/2016 16:00:00,0.72
1/26/2016 16:00:00,0.71
1/27/2016 16:00:00,0.7
1/28/2016 16:00:00,0.7
1/29/2016 16:00:00,0.68
2/1/2016 16:00:00,0.67
2/2/2016 16:00:00,0.67
2/3/2016 16:00:00,0.63
2/4/2016 16:00:00,0.62
2/5/2016 16:00:00,0.65
2/8/2016 16:00:00,0.61
2/9/2016 16:00:00,0.62
2/10/2016 16:00:00,0.62
2/11/2016 16:00:00,0.61
2/12/2016 16:00:00,0.57
2/16/2016 16:00:00,0.52
2/17/2016 16:00:00,0.53
2/18/2016 16:00:00,0.57
2/19/2016 16:00:00,0.55
2/22/2016 16:00:00,0.59
2/23/2016 16:00:00,0.59
2/24/2016 16:00:00,0.62
2/25/2016 16:00:00,0.61
2/26/2016 16:00:00,0.59
2/29/2016 16:00:00,0.6
3/1/2016 16:00:00,0.62
3/2/2016 16:00:00,0.63
3/3/2016 16:00:00,0.64
3/4/2016 16:00:00,0.67
3/7/2016 16:00:00,0.65
3/8/2016 16:00:00,0.64
3/9/2016 16:00:00,0.69
3/10/2016 16:00:00,0.68
3/11/2016 16:00:00,0.67
3/14/2016 16:00:00,0.66
3/15/2016 16:00:00,0.64
3/16/2016 16:00:00,0.67
3/17/2016 16:00:00,0.73
3/18/2016 16:00:00,0.73
3/21/2016 16:00:00,0.73
3/22/2016 16:00:00,0.73
3/23/2016 16:00:00,0.72
3/24/2016 16:00:00,0.73
3/28/2016 16:00:00,0.71
3/29/2016 16:00:00,0.71
3/30/2016 16:00:00,0.73
3/31/2016 16:00:00,0.73
4/1/2016 16:00:00,0.71
4/4/2016 16:00:00,0.73
4/5/2016 16:00:00,0.73
4/6/2016 16:00:00,0.72
4/7/2016 16:00:00,0.74
4/8/2016 16:00:00,0.73
4/11/2016 16:00:00,0.73
4/12/2016 16:00:00,0.75
4/13/2016 16:00:00,0.75
4/14/2016 16:00:00,0.75
4/15/2016 16:00:00,0.74
4/18/2016 16:00:00,0.74
4/19/2016 16:00:00,0.73
4/20/2016 16:00:00,0.73
4/21/2016 16:00:00,0.75
4/22/2016 16:00:00,0.75
4/25/2016 16:00:00,0.77
4/26/2016 16:00:00,0.74
4/27/2016 16:00:00,0.78
4/28/2016 16:00:00,0.82
4/29/2016 16:00:00,0.82
5/2/2016 16:00:00,0.77
5/3/2016 16:00:00,0.84
5/4/2016 16:00:00,0.83
5/5/2016 16:00:00,0.81
5/6/2016 16:00:00,0.82
5/9/2016 16:00:00,0.81
5/10/2016 16:00:00,0.82
5/11/2016 16:00:00,0.83
5/12/2016 16:00:00,0.8
5/13/2016 16:00:00,0.81
5/16/2016 16:00:00,0.83
5/17/2016 16:00:00,0.82
5/18/2016 16:00:00,0.82
5/19/2016 16:00:00,0.8
5/20/2016 16:00:00,0.81
5/23/2016 16:00:00,0.82
5/24/2016 16:00:00,0.82
5/25/2016 16:00:00,0.83
5/26/2016 16:00:00,0.83
5/27/2016 16:00:00,0.83
5/31/2016 16:00:00,0.83
6/1/2016 16:00:00,0.81
6/2/2016 16:00:00,0.84
6/3/2016 16:00:00,0.84
6/6/2016 16:00:00,0.82
6/7/2016 16:00:00,0.79
6/8/2016 16:00:00,0.81
6/9/2016 16:00:00,0.8
6/10/2016 16:00:00,0.84
6/13/2016 16:00:00,0.83
6/14/2016 16:00:00,0.85
6/15/2016 16:00:00,0.84
6/16/2016 16:00:00,0.83
6/17/2016 16:00:00,0.85
6/20/2016 16:00:00,0.83
